DateTime,5 HK Equity,1299 HK Equity,700 HK Equity,939 HK Equity,941 HK Equity,1398 HK Equity,2318 HK Equity,3988 HK Equity,388 HK Equity,883 HK Equity,1 HK Equity,386 HK Equity,2 HK Equity,823 HK Equity,11 HK Equity,16 HK Equity,3 HK Equity,1113 HK Equity,2388 HK Equity,2628 HK Equity,27 HK Equity,857 HK Equity,688 HK Equity,1093 HK Equity,1928 HK Equity,2007 HK Equity,175 HK Equity,6 HK Equity,1109 HK Equity,762 HK Equity
7/11/2016,59.15,48.5,204.2,5.68,88.15,4.69,41.05,3.48,202.6,9.85,95.85,5.69,79.1,54.75,139.9,104,12.579,52.8,27,19.5,32.5,5.39,23.7,8,35.05,3.976,7.97,74.25,19.2,9.09
8/11/2016,59.1,48.5,205.6,5.72,88.8,4.74,41.4,3.52,203.6,9.8,96.1,5.67,79.2,54.8,140,105.7,12.612,53.5,26.95,19.58,33,5.4,24.05,8.04,35.35,4.005,7.92,74.3,19.52,9.06
9/11/2016,58,47.45,202.4,5.52,86.8,4.58,40.15,3.4,202.4,9.53,94.05,5.46,78.1,54.85,138.6,104.3,12.496,51.8,26.5,19.06,32.25,5.2,23.6,7.89,34.65,3.948,7.9,73.2,19.1,8.84
10/11/2016,60,48.55,208.2,5.62,87.1,4.66,40.95,3.46,204.8,9.79,94.75,5.52,78.4,54.85,141.5,105.9,12.529,52.9,27.6,19.36,32.7,5.27,23.75,8.04,35.3,4.005,8.15,73.75,19.38,8.95
11/11/2016,61.15,48.35,200,5.52,84.25,4.6,40.65,3.42,206.2,9.61,93.8,5.42,76,53.1,142.8,104.6,12.083,52.35,28.25,19.22,33.15,5.19,23.2,7.88,35.1,3.995,7.71,72.35,18.76,8.6
14/11/2016,60.65,47.8,192.6,5.46,84,4.51,40.25,3.38,204.2,9.51,93.35,5.33,74.85,51.8,143.5,99.75,11.835,51.25,28.05,19.4,32.8,5.13,22.8,7.8,34.55,3.976,7.6,72.05,18.34,8.52
15/11/2016,61.6,47.2,193.2,5.53,84.8,4.5,40.75,3.39,203.4,9.56,93.6,5.34,74.85,52.15,146.5,100.2,11.95,51.2,28.3,19.8,33.05,5.16,22.75,8,34.25,3.995,7.5,72.4,18.48,8.5
16/11/2016,61.45,47.15,196.9,5.46,84.4,4.48,40.55,3.36,203.4,9.73,93.5,5.3,73.6,51.3,143.3,100,11.835,50.7,28.2,20.1,33.5,5.21,22,7.96,34.55,4.005,7.22,72,18.3,8.52
17/11/2016,60.4,47.15,194.8,5.45,84.75,4.46,40.4,3.36,204,9.68,93.6,5.27,74,52.55,143.4,101,11.95,50.9,27.95,19.92,34.95,5.18,21.95,7.96,36.35,4.005,7.25,72.35,18.36,8.73
18/11/2016,61.1,46.85,195.4,5.48,84.6,4.48,40.45,3.36,203,9.77,94.9,5.28,73.7,52.85,145,100.3,12.017,50.75,28.05,19.96,35.95,5.18,22,7.92,36.95,4.005,7.74,72.7,18.56,9.07
21/11/2016,60.8,46.65,193.6,5.5,84.2,4.49,41.8,3.36,202.4,9.73,95.75,5.29,73.45,52.85,145,100.4,11.868,50.75,28,20.95,36.55,5.2,22.05,7.92,38.15,3.948,7.97,72.4,18.58,9.01
22/11/2016,61.7,47.2,195.8,5.62,84.4,4.6,42.65,3.43,203.8,10.24,96.5,5.44,74.05,52.05,146.3,102,11.868,51.7,28.6,21.55,36.5,5.4,22.45,8.05,37.75,3.9,7.86,73,19.06,9.06
23/11/2016,61.45,47.2,194.3,5.7,84,4.64,42.55,3.46,203.6,10.16,96.2,5.45,74.55,52.1,145.9,102,11.884,51.9,28.6,21.2,36.7,5.39,22.55,7.84,37.9,3.938,7.74,73.15,19.04,8.92
24/11/2016,61.45,47.1,192.2,5.69,83.55,4.61,42.35,3.46,203.8,10.1,95.6,5.4,74.05,52.45,147,101.2,11.868,51.5,28.65,21.85,37.4,5.35,22.4,7.96,38.65,3.919,8.11,72.9,18.98,8.92
25/11/2016,61.6,47.3,193,5.75,83.9,4.67,43.25,3.5,205,10.04,95.1,5.4,74.3,52.2,147.8,100.9,11.95,51.2,28.9,22.7,37,5.36,22.2,8.15,38,3.976,8.27,72.95,19,8.95
28/11/2016,61.5,47.1,195.3,5.82,84.75,4.76,43.35,3.54,204.8,10,94.6,5.46,75,52.65,146.8,100.9,11.934,51.5,28.85,22.4,37.5,5.35,22.55,8.38,38.45,4.062,8.05,73.1,19.1,8.8
29/11/2016,60.6,47.05,193,5.83,84,4.78,43,3.51,203.6,9.91,94.4,5.44,76.25,52.9,146.4,100.4,11.983,51.95,29,22.25,37.6,5.34,22.4,8.42,38.9,4.062,7.98,73.15,18.9,8.77
30/11/2016,61.05,47.3,193.7,5.78,84.65,4.75,42.9,3.53,204,9.78,94.5,5.42,75.85,53.4,147,101.5,11.934,53.1,29.1,22.55,38.5,5.27,22.4,8.33,38.2,4.129,8.02,74,18.84,9.42
1/12/2016,61.15,46.85,194.5,5.85,85.95,4.79,42.7,3.56,204.2,10.38,94.7,5.55,75.3,52.8,146.2,101.5,11.818,52.6,29.05,22.3,37.5,5.52,22.65,8.22,38,4.214,7.99,73,19.2,9.83
